Title,Longitude,Latitude,Temperature,Humidity
Karachi,66.990501,24.860966,30,65
Lahore,74.3587,31.5204,28,70
Islamabad,73.0551,33.6844,25,60
Peshawar,71.524915,34.015137,29,55
Quetta,66.998734,30.179840,22,40
Faisalabad,73.074287,31.450365,27,65
Multan,71.524916,30.157457,32,45
Sialkot,74.534107,32.494543,26,70
Gujranwala,74.185425,32.187671,29,68
Hyderabad,68.357778,25.392419,33,60
Sukkur,68.838989,27.705413,36,55
Bahawalpur,71.683592,29.395556,35,50
Sargodha,72.674812,32.083611,28,62
Mardan,72.042918,34.197848,30,52
Mingora,72.362173,34.774197,26,58
Nawabshah,68.366000,26.244200,34,47
Chitral,71.785358,35.850735,18,40
Jhelum,73.722503,32.934575,28,64
Abbottabad,73.227187,34.146862,24,55
Larkana,68.223557,27.560000,37,48
Rahim Yar Khan,70.322773,28.420159,35,53
Dera Ghazi Khan,70.641113,30.051077,33,49
Muzaffarabad,73.471741,34.370285,23,65
