Title,Longitude,Latitude,Temperature,Humidity,High_cloud,Low_cloud,Mid_cloud,windSpeed,windDirection,Sky_cover
Karachi,66.990501,24.860966,30,65,1,2,6,18,220,5
Lahore,74.3587,31.5204,28,70,3,3,2,4,150,2
Islamabad,73.0551,33.6844,25,60,5,6,7,180,34,6
Peshawar,71.524915,34.015137,29,55,3,2,4,10,270,4
Quetta,66.998734,30.179840,22,40,3,2,4,16,320,6
Faisalabad,73.074287,31.450365,27,65,3,2,4,8,130,8
Multan,71.524916,30.157457,32,45,3,2,4,20,200,6
Sialkot,74.534107,32.494543,26,70,3,2,4,12,90,3
Gujranwala,74.185425,32.187671,29,68,3,2,4,14,140,6
Hyderabad,68.357778,25.392419,33,60,3,2,4,22,210,4
Sukkur,68.838989,27.705413,36,55,3,2,4,24,230,6
Bahawalpur,71.683592,29.395556,35,50,3,2,4,15,180,7
Sargodha,72.674812,32.083611,28,62,3,2,4,9,160,5
Mardan,72.042918,34.197848,30,52,3,2,4,11,190,7
Mingora,72.362173,34.774197,26,58,3,2,4,13,120,4
Nawabshah,68.366000,26.244200,34,47,3,2,4,17,230,5
Jhelum,73.722503,32.934575,28,64,3,2,4,10,150,8
Abbottabad,73.227187,34.146862,24,55,3,2,4,12,100,7
Larkana,68.223557,27.560000,37,48,3,2,4,25,240,7
Rahim Yar Khan,70.322773,28.420159,35,53,3,2,4,16,190,5
Dera Ghazi Khan,70.641113,30.051077,33,49,3,2,4,19,210,5
Muzaffarabad,73.471741,34.370285,23,65,3,2,4,9,170,5
